,country,code,indicator,time,value
113,Libya,LBY,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
114,Liechtenstein,LIE,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
115,Lithuania,LTU,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
116,Luxembourg,LUX,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
117,"Macao SAR, China",MAC,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
119,Madagascar,MDG,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
120,Malawi,MWI,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
121,Malaysia,MYS,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
122,Maldives,MDV,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
123,Mali,MLI,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
124,Malta,MLT,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,2289
125,Marshall Islands,MHL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
126,Mauritania,MRT,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
127,Mauritius,MUS,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,1975
128,Mexico,MEX,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
129,"Micronesia, Fed. Sts.",FSM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
130,Moldova,MDA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
131,Monaco,MCO,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
132,Mongolia,MNG,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,19699
133,Montenegro,MNE,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
134,Morocco,MAR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
135,Mozambique,MOZ,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
136,Myanmar,MMR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
137,Namibia,NAM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
138,Nauru,NRU,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
139,Nepal,NPL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
140,Netherlands,NLD,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
141,New Caledonia,NCL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,101
142,New Zealand,NZL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,39816
143,Nicaragua,NIC,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,9385
144,Niger,NER,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
145,Nigeria,NGA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
146,Northern Mariana Islands,MNP,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
147,Norway,NOR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
148,Oman,OMN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
149,Pakistan,PAK,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
150,Palau,PLW,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
151,Panama,PAN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,8947
152,Papua New Guinea,PNG,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
153,Paraguay,PRY,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,8172
154,Peru,PER,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,126234
155,Philippines,PHL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
156,Poland,POL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
157,Portugal,PRT,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
158,Puerto Rico,PRI,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
159,Qatar,QAT,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
160,Romania,ROU,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
161,Russian Federation,RUS,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,5212600
162,Rwanda,RWA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
163,Samoa,WSM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,114
164,San Marino,SMR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
165,Sao Tome and Principe,STP,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
166,Saudi Arabia,SAU,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
167,Senegal,SEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
168,Serbia,SRB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
169,Seychelles,SYC,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
170,Sierra Leone,SLE,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
171,Singapore,SGP,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,13771
172,Sint Maarten (Dutch part),SXM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
173,Slovak Republic,SVK,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
