Country Name,Country Code,Indicator Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
British Virgin Islands,VGB,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856,750,669,758,,1136,,,,,1211,,,,,,827,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,331,,436,,,,218,607,,601,945,,,,,1388,1454,1539,,,,2917,3705,3984,4479,4418,4546,4917,5023,5094,5284,5607,6107,5776,6626,8336,8797,11292,10866,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,"Enrolment in tertiary education, all programmes, both sexes (number)",,99596,107296,117103,121798,127319,128593,129507,142644,117028,108308,101359,97785,95723,98612,104333,113795,125576,135852,150517,157861,188479,185914,195447,206179,223030,250336,262757,260487,270077,261321,247006,228394,230513,228468,237909,243464,258692,264463,274247,287086,285265,284995,283959,283294,278953,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,"Enrolment in tertiary education, all programmes, both sexes (number)",,183,231,274,436,523,1067,986,1222,1286,1226,1644,2568,3086,3406,3845,4085,4381,4790,5491,5675,5425,7387,8813,8815,9452,9388,8911,,9878,,12322,15535,18200,,27942,30472,33459,41779,47587,51166,60998,68894,74276,,,94728,,,,,,,,,,,,,,,,,,
Burundi,BDI,"Enrolment in tertiary education, all programmes, both sexes (number)",,466,490,482,744,802,1002,,,1716,1784,1879,2068,,2411,2521,2783,2731,3266,3308,3172,3592,3830,4256,,,,,4415,5037,6132,6289,10546,,15706,16915,17953,19296,21856,24290,29269,28595,36766,44887,51225,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706,801,718,1810,2215,3036,3910,4567,5289,6658,8465,10144,11769,11800,13068,13397,12538,,,,,,,,,,,,,,,,,,,
Cambodia,KHM,"Enrolment in tertiary education, all programmes, both sexes (number)",,9228,10425,9988,,,,,,,702,601,602,769,1369,1970,2213,,,5080,5479,6659,8764,10837,12218,11652,13401,10019,,,22108,25416,32010,43210,45370,56810,94708,117420,137490,168003,195166,223222,,,,217364,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,"Enrolment in tertiary education, all programmes, both sexes (number)",,2690,3443,4484,5533,6459,,,,11012,12704,11686,12510,13493,15563,17741,,21438,23781,24539,29000,33177,,,,,,,,66902,65697,68495,77707,81318,83903,99864,120298,132134,147631,174144,220331,244233,270409,322175,349756,389974,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,1079960,,,,,,,,,,1639410,,,1727260,1840837,1916801,1942814,1746919,1776792,1783716,1763105,,1192570,1220651,1212161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,428,508,502,560,,,567,626,912,,,,,,,,,,,,,,,,,,,,,,,,,,
